roi_index,roi_name,prior_text
0,Precentral_L,Left precentral gyrus supports voluntary motor control and movement execution.
1,Precentral_R,Right precentral gyrus supports voluntary motor control and movement execution.
2,Frontal_Sup_L,Left superior frontal gyrus supports executive control working memory and attention.
3,Frontal_Sup_R,Right superior frontal gyrus supports executive control working memory and attention.
4,Frontal_Sup_Orb_L,Left orbital superior frontal cortex supports reward valuation and affective decision making.
5,Frontal_Sup_Orb_R,Right orbital superior frontal cortex supports reward valuation and affective decision making.
6,Frontal_Mid_L,Left middle frontal gyrus supports cognitive control planning and working memory.
7,Frontal_Mid_R,Right middle frontal gyrus supports cognitive control planning and working memory.
8,Frontal_Mid_Orb_L,Left orbital middle frontal cortex supports emotion regulation and reward processing.
9,Frontal_Mid_Orb_R,Right orbital middle frontal cortex supports emotion regulation and reward processing.
10,Frontal_Inf_Oper_L,Left opercular inferior frontal gyrus supports speech production and inhibitory control.
11,Frontal_Inf_Oper_R,Right opercular inferior frontal gyrus supports inhibitory control and social communication.
12,Frontal_Inf_Tri_L,Left triangular inferior frontal gyrus supports language processing and semantic selection.
13,Frontal_Inf_Tri_R,Right triangular inferior frontal gyrus supports semantic control and social cognition.
14,Frontal_Inf_Orb_L,Left orbital inferior frontal cortex supports reward evaluation and emotional decision making.
15,Frontal_Inf_Orb_R,Right orbital inferior frontal cortex supports reward evaluation and emotional decision making.
16,Rolandic_Oper_L,Left rolandic operculum supports speech articulation sensorimotor integration and oral motor control.
17,Rolandic_Oper_R,Right rolandic operculum supports sensorimotor integration speech prosody and oral motor control.
18,Supp_Motor_Area_L,Left supplementary motor area supports motor planning sequence control and action initiation.
19,Supp_Motor_Area_R,Right supplementary motor area supports motor planning sequence control and action initiation.
20,Olfactory_L,Left olfactory cortex supports smell perception and affective odor processing.
21,Olfactory_R,Right olfactory cortex supports smell perception and affective odor processing.
22,Frontal_Sup_Medial_L,Left medial superior frontal cortex supports self-referential thought and executive control.
23,Frontal_Sup_Medial_R,Right medial superior frontal cortex supports self-referential thought and executive control.
24,Frontal_Med_Orb_L,Left medial orbital frontal cortex supports reward valuation mood regulation and decision making.
25,Frontal_Med_Orb_R,Right medial orbital frontal cortex supports reward valuation mood regulation and decision making.
26,Rectus_L,Left gyrus rectus supports reward processing emotion and social evaluation.
27,Rectus_R,Right gyrus rectus supports reward processing emotion and social evaluation.
28,Insula_L,Left insula supports interoception salience detection and emotional awareness.
29,Insula_R,Right insula supports interoception salience detection and emotional awareness.
30,Cingulum_Ant_L,Left anterior cingulate supports conflict monitoring emotion regulation and cognitive control.
31,Cingulum_Ant_R,Right anterior cingulate supports conflict monitoring emotion regulation and cognitive control.
32,Cingulum_Mid_L,Left middle cingulate supports attention motor control and pain processing.
33,Cingulum_Mid_R,Right middle cingulate supports attention motor control and pain processing.
34,Cingulum_Post_L,Left posterior cingulate supports default mode processing memory and self-referential cognition.
35,Cingulum_Post_R,Right posterior cingulate supports default mode processing memory and self-referential cognition.
36,Hippocampus_L,Left hippocampus supports episodic memory formation spatial navigation and learning.
37,Hippocampus_R,Right hippocampus supports episodic memory formation spatial navigation and learning.
38,ParaHippocampal_L,Left parahippocampal gyrus supports contextual memory scene processing and navigation.
39,ParaHippocampal_R,Right parahippocampal gyrus supports contextual memory scene processing and navigation.
40,Amygdala_L,Left amygdala supports emotion processing threat detection and affective learning.
41,Amygdala_R,Right amygdala supports emotion processing threat detection and affective learning.
42,Calcarine_L,Left calcarine cortex supports primary visual processing.
